willid_full,year,treat,site_id,exp,willid,fall_height,species_id,fence,dam,browse,n.plants,n.years,min.year,max.year,site_full
eb1-cc-499,2006,cc,eb1,1,499,87,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2006,cc,eb1,1,602,87,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2006,cc,eb1,1,605,104,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2006,cc,eb1,1,608,75,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2006,cc,eb1,1,611,64,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2006,cc,eb1,1,614,116,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2006,cc,eb1,1,617,123,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2006,cc,eb1,1,620,130,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2006,cc,eb1,1,626,53,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2006,cc,eb1,1,629,88,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2006,cc,eb1,1,632,108,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2007,cc,eb1,1,493,73,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2007,cc,eb1,1,499,80,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2007,cc,eb1,1,602,84,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2007,cc,eb1,1,605,95,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2007,cc,eb1,1,608,98,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2007,cc,eb1,1,611,74,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2007,cc,eb1,1,614,107,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2007,cc,eb1,1,617,105,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2007,cc,eb1,1,620,122,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2007,cc,eb1,1,626,53,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2007,cc,eb1,1,629,95,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2007,cc,eb1,1,632,87,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2008,cc,eb1,1,493,71,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2008,cc,eb1,1,499,94,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2008,cc,eb1,1,602,89,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2008,cc,eb1,1,605,97,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2008,cc,eb1,1,608,96,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2008,cc,eb1,1,611,90,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2008,cc,eb1,1,614,103,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2008,cc,eb1,1,617,110,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2008,cc,eb1,1,620,123,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-620,2008,cc,eb1,1,620,NA,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2008,cc,eb1,1,626,60,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2008,cc,eb1,1,629,90,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2008,cc,eb1,1,632,110,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2009,cc,eb1,1,493,79,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2009,cc,eb1,1,499,94,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2009,cc,eb1,1,602,99,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2009,cc,eb1,1,605,111,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2009,cc,eb1,1,608,113,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2009,cc,eb1,1,611,84,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2009,cc,eb1,1,614,122,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2009,cc,eb1,1,617,105,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2009,cc,eb1,1,620,131,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2009,cc,eb1,1,626,61,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2009,cc,eb1,1,629,107,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2009,cc,eb1,1,632,110,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2010,cc,eb1,1,493,74,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2010,cc,eb1,1,499,105,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2010,cc,eb1,1,602,110,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2010,cc,eb1,1,605,120,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2010,cc,eb1,1,608,118,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2010,cc,eb1,1,611,104,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2010,cc,eb1,1,614,138,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2010,cc,eb1,1,617,111,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2010,cc,eb1,1,620,149,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2010,cc,eb1,1,626,52,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2010,cc,eb1,1,629,124,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2010,cc,eb1,1,632,110,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2011,cc,eb1,1,493,90,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2011,cc,eb1,1,499,121,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2011,cc,eb1,1,602,115,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2011,cc,eb1,1,605,120,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2011,cc,eb1,1,608,126,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2011,cc,eb1,1,611,104,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2011,cc,eb1,1,614,140,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-620,2011,cc,eb1,1,620,145,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2011,cc,eb1,1,626,65,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2011,cc,eb1,1,629,119,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2011,cc,eb1,1,632,131,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2012,cc,eb1,1,493,81,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2012,cc,eb1,1,499,109,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2012,cc,eb1,1,602,121,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2012,cc,eb1,1,605,138,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2012,cc,eb1,1,608,128,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2012,cc,eb1,1,611,119,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2012,cc,eb1,1,614,150,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2012,cc,eb1,1,617,119,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2012,cc,eb1,1,620,151,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2012,cc,eb1,1,626,63,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2012,cc,eb1,1,629,137,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2012,cc,eb1,1,632,136,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2013,cc,eb1,1,493,99,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2013,cc,eb1,1,499,106,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2013,cc,eb1,1,602,106,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2013,cc,eb1,1,605,150,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2013,cc,eb1,1,608,123,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2013,cc,eb1,1,611,122,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2013,cc,eb1,1,614,149,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2013,cc,eb1,1,617,124,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2013,cc,eb1,1,620,143,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2013,cc,eb1,1,626,54,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2013,cc,eb1,1,629,133,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2013,cc,eb1,1,632,150,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2014,cc,eb1,1,493,80,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2014,cc,eb1,1,499,104,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2014,cc,eb1,1,602,90,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2014,cc,eb1,1,605,129,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2014,cc,eb1,1,608,116,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2014,cc,eb1,1,611,128,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2014,cc,eb1,1,614,159,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2014,cc,eb1,1,617,129,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2014,cc,eb1,1,620,149,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2014,cc,eb1,1,626,68,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2014,cc,eb1,1,629,116,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2014,cc,eb1,1,632,146,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2015,cc,eb1,1,493,101,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2015,cc,eb1,1,499,131,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2015,cc,eb1,1,602,114,geyer,0,0,1,20,20,2001,2020,eb1-cc
